Configuration,Quantity#,Dollar Value,Year,
Vinyl Albums,1149919,36939095,2022,
Compact Disc,1970935,20414717,2022,
Music Video/DVD,55622,805954,2022,
Other *,8829,64877,2022,
Total Physical,3185305,58224643,2022,
Downloads,0,19207080,2022,
Subscription Services Income,0,410696851,2022,
Ad Supported Streaming Models,0,59304289,2022,
Video Streaming,0,60729586,2022,
Digital Other **,0,1403778,2022,
Total Digital,0,551341584,2022,
Grand Totals,0,609566227,2022,
Vinyl Albums,1141580,30043246,2021,
Compact Disc,2385635,25157034,2021,
Music Video/DVD,85102,1267178,2021,
Other *,2802,41840,2021,
Total Physical,3615120,56509298,2021,
Downloads,0,23332178,2021,
Subscription Services Income,0,377314032,2021,
Ad Supported Streaming Models,0,54015584,2021,
Video Streaming,0,54960229,2021,
Digital Other **,0,1699358,2021,
Total Digital,0,511321382,2021,
Grand Totals,0,567830680,2021,
Singles,8801,58100,2020,
Vinyl Albums,1147649,29393800,2020,
CD Albums,3291332,30566490,2020,
Music Video/DVD,136189,1723540,2020,
Other *,2336,37450,2020,
Total Physical,4586307,61779380,2020,
Digital Track,0,17867320,2020,
Digital Album,0,14738010,2020,
Subscription Services Income,0,362345390,2020,
Ad Supported Streaming Models,0,40131980,2020,
Video Streaming,0,43463420,2020,
Digital Other **,0,1679630,2020,
Total Digital,0,480225750,2020,
Grand Totals,0,542005130,2020,
Singles,3868,51210,2019,
Vinyl Albums,884946,22264720,2019,
CD Albums,3794171,36941630,2019,
Music Video/DVD,191513,2191100,2019,
Other *,1504,24930,2019,
Total Physical,4876001,61473590,2019,
Digital Track,0,24408290,2019,
Digital Album,0,20743780,2019,
Subscription Services Income,0,317040800,2019,
Ad Supported Streaming Models,0,39832040,2019,
Video Streaming,0,38308690,2019,
Digital Other **,0,3245070,2019,
Total Digital,0,443578670,2019,
Grand Totals,0,505052260,2019,
Vinyl Singles,21623,185512,2012,
CD Singles,174150,696865,2012,
Vinyl Albums,77934,1852346,2012,
CD Albums,19001519,193490726,2012,
Music Video/DVD,1808810,17542566,2012,
Other *,4457,62955,2012,
Total Physical,21088493,213830970,2012,
Digital Track,110419156,98287835,2012,
Digital Album,6838094,63402091,2012,
Mobile Master Ringtones,1812844,2772625,2012,
Ad Supported Models,0,9099547,2012,
Subscription Services Income,0,2119462,2012,
Digital Other **,0,8621091,2012,
Total Digital,119070094,184302651,2012,
Grand Totals,140158587,398133621,2012,
Vinyl Singles,13637,126295,2011,
CD Singles,47472,151402,2011,
Vinyl Albums,44876,902669,2011,
CD Albums,20539253,222698401,2011,
Music Video/DVD,1888433,18293383,2011,
Other *,584,8913,2011,
Total Physical,22534255,242181063,2011,
Digital Track,68473070,79552930,2011,
Digital Album,4817546,46029988,2011,
Mobile Master Ringtones,2288012,3736694,2011,
Ad Supported Models,0,4839330,2011,
Subscription Services Income,0,637712,2011,
Digital Other **,0,5744456,2011,
Total Digital,75578628,140541110,2011,
Grand Totals,98112883,382722173,2011,
Singles,66538,302790,2015,
Vinyl Albums,374097,8910933,2015,
CD Albums,11317489,110592309,2015,
Music Video/DVD,699299,6391654,2015,
Other *,4837,40957,2015,
Total Physical,12462260,126238643,2015,
Digital Track,0,70850598,2015,
Digital Album,0,61700476,2015,
Mobile Master Ringtones,0,1390027,2015,
Ad Supported Models,0,24822611,2015,
Subscription Services Income,0,46326605,2015,
Digital Other **,0,2505159,2015,
Total Digital,-,207595476,2015,
Grand Totals,12462260,333834119,2015,
Singles,133797,632187,2014,
Vinyl Albums,277767,6446493,2014,
CD Albums,12563714,115331371,2014,
Music Video/DVD,757645,7572626,2014,
Other *,5164,84577,2014,
Total Physical,13738087,130067254,2014,
Digital Track,0,85196975,2014,
Digital Album,0,67089453,2014,
Mobile Master Ringtones,0,1607672,2014,
Ad Supported Models,0,8888629,2014,
Subscription Services Income,0,23005977,2014,
Digital Other **,0,1934340,2014,
Total Digital,0,187723046,2014,
Grand Totals,13738087,317790300,2014,
Singles,72345,419632,2016,
Vinyl Albums,655301,15160458,2016,
CD Albums,9152722,87243176,2016,
Music Video/DVD,489056,5109149,2016,
Other *,2690,18852,2016,
Total Physical,10372114,107951267,2016,
Digital Track,0,51784682,2016,
Digital Album,0,53248909,2016,
Ad Supported Models,0,27801188,2016,
Subscription Services Income,0,107733558,2016,
Digital Other **,0,3652976,2016,
Total Digital,0,244221313,2016,
Grand Totals,10372114,352172580,2016,
Vinyl Singles,10069,124715,2013,
CD Singles,87098,362904,2013,
Vinyl Albums,137658,2839822,2013,
CD Albums,14226201,141742722,2013,
Music Video/DVD,1417998,14281405,2013,
Other *,389,5122,2013,
Total Physical,15879413,159356690,2013,
Digital Track,106961693,94869698,2013,
Digital Album,7376731,67347957,2013,
Mobile Master Ringtones,1503178,2154649,2013,
Ad Supported Models,0,10220365,2013,
Subscription Services Income,0,10890064,2013,
Digital Other **,0,6779543,2013,
Total Digital,115841602,192262276,2013,
Grand Totals,131721015,351618966,2013
Vinyl Albums,1183378,42132289,2023
Compact Disc,1593653,17137123,2023
Music Video/DVD,37254,540184,2023
Other *,1706,97897,2023
Total Physical,2815992,59907493,2023
Downloads,0,16392622,2023
Subscription Services Income,0,467639007,2023
Ad Supported Streaming Models,0,68346282,2023
Video Streaming,0,62778097,2023
Digital Other **,0,988771,2023
Total Digital,0,616144779,2023
Grand Totals,0,676052271,2023
