Age,Country,Streaming Platform,Top Genre,Minutes Streamed Per Day,Number of Songs Liked,Most Played Artist,Subscription Type
34,Japan,Tidal,Reggae,295,138,Adele,Free
24,Germany,Deezer,Country,86,388,Ed Sheeran,Premium
49,Germany,Deezer,Pop,363,368,Post Malone,Premium
55,Australia,YouTube,Reggae,348,349,Dua Lipa,Premium
13,Germany,Amazon Music,Reggae,30,328,Adele,Free
25,South Korea,Spotify,EDM,536,243,The Weeknd,Premium
49,Australia,Tidal,Country,547,70,Billie Eilish,Free
32,UK,Amazon Music,Classical,98,448,Dua Lipa,Premium
25,Germany,Tidal,Metal,526,27,BTS,Premium
37,Brazil,Spotify,Reggae,514,299,Billie Eilish,Premium
40,South Korea,Deezer,Reggae,266,462,Taylor Swift,Premium
43,Brazil,Spotify,Rock,351,108,Drake,Free
46,Canada,Deezer,Rock,389,328,Ed Sheeran,Premium
57,Germany,Tidal,Rock,506,432,Drake,Free
23,India,Apple Music,Hip-Hop,502,215,Dua Lipa,Premium
33,UK,Spotify,Hip-Hop,193,11,Drake,Premium
19,India,Spotify,Country,542,499,Adele,Free
16,USA,Apple Music,R&B,13,423,Adele,Premium
17,Germany,Apple Music,Rock,383,468,Billie Eilish,Premium
39,India,Deezer,R&B,147,461,Bad Bunny,Premium
33,Australia,Apple Music,EDM,58,417,Post Malone,Premium
29,USA,Deezer,Metal,450,12,Ed Sheeran,Premium
40,Brazil,Tidal,Jazz,445,221,Dua Lipa,Premium
42,Brazil,Amazon Music,Rock,547,248,Post Malone,Free
35,South Korea,Deezer,Pop,218,461,Post Malone,Free
53,Brazil,Apple Music,Reggae,87,347,Ed Sheeran,Premium
23,Japan,Tidal,Hip-Hop,537,494,Taylor Swift,Free
27,France,Amazon Music,Jazz,203,437,Taylor Swift,Free
40,Germany,Spotify,Pop,267,475,Drake,Premium
42,Canada,Amazon Music,Reggae,151,195,Taylor Swift,Premium
51,Canada,Amazon Music,EDM,60,195,Drake,Premium
42,UK,Amazon Music,R&B,201,52,Adele,Free
47,USA,Amazon Music,Jazz,564,400,Drake,Free
49,South Korea,Apple Music,Hip-Hop,140,408,Dua Lipa,Free
58,Brazil,Deezer,R&B,187,439,Drake,Premium
25,France,Apple Music,EDM,332,196,BTS,Free
38,UK,Deezer,Metal,99,80,The Weeknd,Premium
23,Japan,Apple Music,Reggae,265,95,Adele,Premium
26,Japan,YouTube,EDM,370,4,BTS,Free
53,USA,Apple Music,Reggae,478,300,Taylor Swift,Free
33,South Korea,Amazon Music,Reggae,193,454,Dua Lipa,Free
55,Brazil,Spotify,Country,581,434,Bad Bunny,Premium
23,Brazil,Spotify,Pop,93,264,Adele,Premium
50,France,Amazon Music,Hip-Hop,463,463,Drake,Premium
32,Brazil,Tidal,R&B,84,117,Ed Sheeran,Premium
42,India,YouTube,Hip-Hop,404,464,Ed Sheeran,Premium
53,USA,Amazon Music,Pop,149,110,The Weeknd,Free
24,USA,YouTube,Rock,585,306,Drake,Premium
40,Brazil,Deezer,EDM,485,342,Drake,Premium
35,Australia,Apple Music,EDM,249,178,Dua Lipa,Free
56,France,Tidal,Rock,225,214,The Weeknd,Premium
54,Japan,Tidal,Metal,414,393,Taylor Swift,Free
14,South Korea,Deezer,Country,189,374,The Weeknd,Free
35,India,Deezer,Hip-Hop,88,315,Adele,Premium
48,India,YouTube,Pop,43,490,Post Malone,Premium
20,Canada,Spotify,Reggae,259,475,The Weeknd,Free
48,Brazil,YouTube,Classical,202,195,Billie Eilish,Premium
30,Japan,Tidal,Jazz,429,8,Dua Lipa,Free
17,UK,Amazon Music,Country,282,225,Adele,Free
30,UK,Amazon Music,Classical,67,191,BTS,Free
18,France,YouTube,Country,587,320,Billie Eilish,Premium
60,USA,Apple Music,Rock,262,301,BTS,Free
35,Australia,Spotify,Jazz,372,283,Ed Sheeran,Free
52,Canada,Apple Music,R&B,229,79,Bad Bunny,Premium
26,South Korea,Tidal,Hip-Hop,316,451,Billie Eilish,Premium
59,UK,Deezer,R&B,334,454,BTS,Premium
53,USA,YouTube,Rock,580,151,Adele,Premium
51,South Korea,Tidal,Jazz,538,363,Dua Lipa,Premium
48,UK,YouTube,Jazz,394,434,Bad Bunny,Premium
57,Japan,YouTube,Jazz,228,94,The Weeknd,Free
57,Australia,Tidal,EDM,570,71,BTS,Premium
40,India,Spotify,Reggae,342,212,Drake,Free
34,UK,YouTube,Country,530,310,Ed Sheeran,Free
51,France,Tidal,Jazz,251,236,Post Malone,Premium
27,South Korea,Spotify,Country,331,476,Post Malone,Premium
27,Brazil,Amazon Music,R&B,149,122,Drake,Free
18,USA,Tidal,Classical,435,165,BTS,Free
33,Japan,Deezer,EDM,419,440,Taylor Swift,Premium
14,Australia,YouTube,Pop,364,171,Ed Sheeran,Premium
48,South Korea,Tidal,Jazz,23,259,Post Malone,Free
47,UK,Apple Music,Jazz,365,259,Bad Bunny,Free
22,Canada,Spotify,Country,13,64,Ed Sheeran,Premium
60,Germany,Tidal,Metal,574,419,Bad Bunny,Free
37,Japan,Apple Music,Hip-Hop,474,272,Billie Eilish,Premium
19,South Korea,Tidal,Rock,252,129,Dua Lipa,Premium
40,Australia,Tidal,R&B,123,222,Post Malone,Premium
57,Brazil,YouTube,R&B,49,207,The Weeknd,Free
40,India,Tidal,Country,88,153,Taylor Swift,Premium
53,Australia,Deezer,Pop,217,67,Drake,Free
43,South Korea,Spotify,EDM,222,70,BTS,Premium
13,Australia,Amazon Music,Country,31,354,Bad Bunny,Free
42,UK,Amazon Music,Metal,426,339,Adele,Free
46,France,Deezer,Rock,265,170,Post Malone,Free
20,Brazil,Apple Music,Classical,578,150,Bad Bunny,Premium
16,Germany,Amazon Music,Hip-Hop,451,451,Billie Eilish,Premium
43,Canada,Amazon Music,Rock,454,328,Post Malone,Premium
59,Canada,Spotify,EDM,283,87,Post Malone,Free
27,South Korea,Apple Music,Pop,136,101,Adele,Free
23,Australia,Spotify,Pop,311,419,Taylor Swift,Free
46,South Korea,Spotify,Hip-Hop,11,102,Billie Eilish,Free
17,Brazil,YouTube,Reggae,379,486,Taylor Swift,Free
56,France,Apple Music,Metal,327,282,Dua Lipa,Premium
36,Australia,YouTube,R&B,131,210,Billie Eilish,Premium
59,USA,Tidal,Pop,476,198,Ed Sheeran,Free
20,India,Deezer,Rock,144,274,Billie Eilish,Premium
24,Brazil,Deezer,EDM,74,427,Taylor Swift,Free
42,UK,Spotify,Reggae,76,84,Ed Sheeran,Free
47,Japan,Spotify,Classical,473,427,Billie Eilish,Free
31,Japan,Amazon Music,Pop,539,87,The Weeknd,Premium
38,Japan,Apple Music,Pop,318,208,The Weeknd,Premium
55,India,Deezer,Classical,536,119,The Weeknd,Premium
49,Canada,Tidal,Pop,199,118,Dua Lipa,Premium
42,Australia,Deezer,Reggae,531,112,Taylor Swift,Premium
22,Australia,Deezer,Hip-Hop,234,88,BTS,Premium
33,Japan,Deezer,Pop,386,378,The Weeknd,Free
21,Japan,Amazon Music,Rock,419,484,The Weeknd,Premium
41,France,YouTube,Pop,70,411,Ed Sheeran,Premium
53,India,Apple Music,Rock,547,419,Adele,Premium
39,India,Apple Music,Classical,274,113,Drake,Premium
53,France,YouTube,Hip-Hop,404,205,Dua Lipa,Premium
45,UK,YouTube,R&B,491,411,The Weeknd,Premium
37,Canada,Amazon Music,Pop,345,129,Post Malone,Free
50,India,Deezer,Country,208,122,Dua Lipa,Free
56,UK,Spotify,Country,105,454,Drake,Free
13,USA,Apple Music,Classical,44,193,Billie Eilish,Free
14,France,Spotify,Reggae,44,318,BTS,Premium
22,Canada,Amazon Music,Hip-Hop,146,345,Taylor Swift,Free
48,UK,Spotify,Metal,250,291,The Weeknd,Premium
35,Brazil,Spotify,Jazz,152,282,The Weeknd,Free
53,Brazil,Amazon Music,Metal,350,133,Drake,Free
29,Canada,Deezer,Jazz,558,97,Adele,Premium
14,Canada,YouTube,Country,57,415,Taylor Swift,Premium
26,USA,Apple Music,Rock,264,226,Adele,Free
26,Canada,Deezer,Reggae,489,166,The Weeknd,Premium
40,UK,Amazon Music,Metal,415,183,Billie Eilish,Premium
53,Australia,Deezer,Jazz,176,344,Post Malone,Free
26,South Korea,YouTube,EDM,336,247,The Weeknd,Premium
59,Canada,YouTube,Hip-Hop,345,465,Ed Sheeran,Premium
27,UK,Amazon Music,Pop,372,85,Billie Eilish,Free
27,France,Deezer,Jazz,567,287,Dua Lipa,Premium
30,Japan,Tidal,Reggae,149,489,The Weeknd,Free
19,USA,Tidal,Reggae,146,130,Ed Sheeran,Premium
39,Canada,Deezer,Reggae,50,25,Taylor Swift,Premium
34,Canada,Spotify,Rock,58,321,The Weeknd,Free
54,Germany,Deezer,Hip-Hop,121,118,Bad Bunny,Premium
26,India,Deezer,Classical,429,3,Drake,Free
17,Brazil,YouTube,Jazz,535,368,Post Malone,Premium
18,South Korea,Amazon Music,Rock,415,17,Post Malone,Free
23,Canada,Spotify,Reggae,454,347,Adele,Free
28,India,Amazon Music,R&B,23,491,Drake,Free
46,France,YouTube,R&B,379,182,BTS,Premium
48,South Korea,Apple Music,Reggae,513,485,Ed Sheeran,Free
46,USA,Apple Music,Jazz,135,445,BTS,Free
50,Japan,Tidal,R&B,189,114,Billie Eilish,Premium
56,Australia,Tidal,Pop,284,97,BTS,Premium
46,Japan,Deezer,R&B,240,73,Bad Bunny,Free
48,USA,Apple Music,EDM,296,264,Bad Bunny,Free
49,France,YouTube,Country,478,421,BTS,Premium
57,UK,Amazon Music,Pop,221,207,Drake,Free
57,Canada,YouTube,Rock,546,275,Taylor Swift,Free
46,USA,Apple Music,EDM,366,120,BTS,Premium
52,South Korea,Tidal,Jazz,490,276,Taylor Swift,Premium
57,UK,Amazon Music,Hip-Hop,54,425,Post Malone,Free
32,Japan,Tidal,R&B,169,243,Billie Eilish,Premium
40,Canada,Tidal,Rock,220,274,The Weeknd,Free
30,India,Amazon Music,Classical,595,435,Taylor Swift,Free
59,Australia,Apple Music,R&B,592,29,Adele,Free
33,Canada,Apple Music,Country,491,394,Bad Bunny,Premium
21,Japan,Apple Music,Pop,345,37,Taylor Swift,Free
60,Australia,Spotify,Country,37,226,BTS,Free
47,Brazil,Deezer,EDM,521,138,Adele,Premium
16,UK,Amazon Music,Hip-Hop,419,226,Drake,Free
36,Canada,YouTube,R&B,547,486,Taylor Swift,Free
50,India,YouTube,Country,524,91,Billie Eilish,Premium
23,Brazil,Deezer,Pop,548,168,The Weeknd,Premium
48,Canada,Spotify,Pop,438,371,Bad Bunny,Free
33,India,Deezer,Reggae,518,9,BTS,Premium
31,Japan,Spotify,Country,160,463,Adele,Premium
53,India,Deezer,R&B,560,349,Billie Eilish,Free
38,USA,YouTube,R&B,390,27,Ed Sheeran,Free
33,France,YouTube,Country,418,256,Ed Sheeran,Free
38,South Korea,Apple Music,EDM,463,140,The Weeknd,Free
30,Brazil,Apple Music,EDM,471,389,Bad Bunny,Free
16,South Korea,Amazon Music,Jazz,425,392,Drake,Premium
33,Germany,Tidal,Hip-Hop,590,496,Adele,Free
17,India,Deezer,Hip-Hop,449,162,Adele,Premium
49,Brazil,Deezer,Country,125,160,Dua Lipa,Premium
33,Germany,Deezer,R&B,407,200,Drake,Premium
44,UK,Deezer,EDM,520,93,Billie Eilish,Premium
38,Australia,Amazon Music,Rock,151,212,Taylor Swift,Premium
32,Brazil,Deezer,Classical,200,33,Dua Lipa,Free
53,France,YouTube,Metal,267,417,Bad Bunny,Premium
40,Canada,Spotify,Rock,350,385,Bad Bunny,Free
58,Australia,YouTube,Classical,317,354,The Weeknd,Premium
39,USA,Apple Music,Hip-Hop,549,460,The Weeknd,Free
49,USA,Amazon Music,Country,352,443,Ed Sheeran,Free
27,Canada,Apple Music,Reggae,126,353,Taylor Swift,Premium
32,India,Spotify,Reggae,119,31,Ed Sheeran,Premium
22,Germany,Spotify,EDM,62,1,Dua Lipa,Premium
19,Germany,YouTube,Hip-Hop,463,379,Adele,Free
35,Japan,Spotify,Jazz,100,181,Billie Eilish,Premium
13,Brazil,Spotify,Country,585,462,Billie Eilish,Premium
